ticker,name,sector_ishares,etf_market_value_usd,weight_pct,source_index,classification_raw,source_classification,data_as_of
GOOGL,Alphabet Inc. (Class A),,108068906.4,4.02,SKYY,Interactive Media & Services,First Trust,2026-05-08
P,"Everpure, Inc. (Class A)",,102305656.16,3.8,SKYY,"Technology Hardware, Storage & Peripherals",First Trust,2026-05-08
NTNX,"Nutanix, Inc. (Class A)",,101012090.0,3.76,SKYY,Software,First Trust,2026-05-08
CRWV,"CoreWeave, Inc. (Class A)",,100504394.85,3.74,SKYY,IT Services,First Trust,2026-05-08
ANET,"Arista Networks, Inc.",,89266614.66,3.32,SKYY,Communications Equipment,First Trust,2026-05-08
MSFT,Microsoft Corporation,,88849378.96,3.3,SKYY,Software,First Trust,2026-05-08
AKAM,"Akamai Technologies, Inc.",,84130298.44,3.13,SKYY,IT Services,First Trust,2026-05-08
LUMN,"Lumen Technologies, Inc.",,83547207.2,3.11,SKYY,Diversified Telecommunication Services,First Trust,2026-05-08
IBM,International Business Machines Corporation,,80403592.96,2.99,SKYY,IT Services,First Trust,2026-05-08
DELL,Dell Technologies Inc. (Class C),,73925319.96,2.75,SKYY,"Technology Hardware, Storage & Peripherals",First Trust,2026-05-08
TWLO,Twilio Inc. (Class A),,70085102.4,2.61,SKYY,IT Services,First Trust,2026-05-08
CSCO,"Cisco Systems, Inc.",,68106089.07,2.53,SKYY,Communications Equipment,First Trust,2026-05-08
NET,"Cloudflare, Inc. (Class A)",,63831293.02,2.37,SKYY,IT Services,First Trust,2026-05-08
MDB,"MongoDB, Inc.",,63865571.14,2.37,SKYY,IT Services,First Trust,2026-05-08
HPE,Hewlett Packard Enterprise Company,,61370791.35,2.28,SKYY,"Technology Hardware, Storage & Peripherals",First Trust,2026-05-08
TEAM,Atlassian Corporation (Class A),,51243879.6,1.91,SKYY,Software,First Trust,2026-05-08
RBRK,"Rubrik, Inc. (Class A)",,50425890.9,1.87,SKYY,Software,First Trust,2026-05-08
NTAP,"NetApp, Inc.",,50081206.0,1.86,SKYY,"Technology Hardware, Storage & Peripherals",First Trust,2026-05-08
APP,Applovin Corp. (Class A),,45295197.05,1.68,SKYY,Software,First Trust,2026-05-08
FSLY,"Fastly, Inc. (Class A)",,45085205.06,1.68,SKYY,IT Services,First Trust,2026-05-08
RNG,"RingCentral, Inc. (Class A)",,42088564.44,1.56,SKYY,Software,First Trust,2026-05-08
GTLB,GitLab Inc. (Class A),,41518430.16,1.54,SKYY,Software,First Trust,2026-05-08
ADBE,Adobe Incorporated,,40528657.68,1.51,SKYY,Software,First Trust,2026-05-08
CRM,"Salesforce, Inc.",,39231665.04,1.46,SKYY,Software,First Trust,2026-05-08
SHOP,Shopify Inc. (Class A),,38436922.89,1.43,SKYY,IT Services,First Trust,2026-05-08
TTAN,"ServiceTitan, Inc. (Class A)",,36601528.32,1.36,SKYY,Software,First Trust,2026-05-08
NOW,"ServiceNow, Inc.",,35480599.86,1.32,SKYY,Software,First Trust,2026-05-08
